,Product,Date,Quantity,Sub Category,Category,UnitRetailPrice,Offer,OfferType,Promo_UnitRetailPrice,Sales_of_Product
0,Product 9,2020-01-01,228.0,Sub Category 6,Category 3,6.99,,nan,6.99,1593.72
1,Product 9,2020-01-02,246.0,Sub Category 6,Category 3,6.99,,nan,6.99,1719.54
2,Product 9,2020-01-03,270.0,Sub Category 6,Category 3,6.99,,nan,6.99,1887.3
3,Product 9,2020-01-04,326.0,Sub Category 6,Category 3,6.99,,nan,6.99,2278.74
4,Product 9,2020-01-05,163.0,Sub Category 6,Category 3,6.99,,nan,6.99,1139.37
5,Product 9,2020-01-06,236.0,Sub Category 6,Category 3,6.99,,nan,6.99,1649.64
6,Product 9,2020-01-07,220.0,Sub Category 6,Category 3,6.99,,nan,6.99,1537.8
7,Product 9,2020-01-08,241.0,Sub Category 6,Category 3,6.99,,nan,6.99,1684.59
8,Product 9,2020-01-09,264.0,Sub Category 6,Category 3,6.99,,nan,6.99,1845.36
9,Product 9,2020-01-10,292.0,Sub Category 6,Category 3,6.99,,nan,6.99,2041.08
10,Product 9,2020-01-11,352.0,Sub Category 6,Category 3,6.99,,nan,6.99,2460.48
11,Product 9,2020-01-12,194.0,Sub Category 6,Category 3,6.99,,nan,6.99,1356.06
12,Product 9,2020-01-13,273.0,Sub Category 6,Category 3,6.99,,nan,6.99,1908.27
13,Product 9,2020-01-14,261.0,Sub Category 6,Category 3,6.99,,nan,6.99,1824.39
14,Product 9,2020-01-15,288.0,Sub Category 6,Category 3,6.99,,nan,6.99,2013.12
15,Product 9,2020-01-16,316.0,Sub Category 6,Category 3,6.99,,nan,6.99,2208.84
16,Product 9,2020-01-17,349.0,Sub Category 6,Category 3,6.99,,nan,6.99,2439.51
17,Product 9,2020-01-18,414.0,Sub Category 6,Category 3,6.99,,nan,6.99,2893.86
18,Product 9,2020-01-19,261.0,Sub Category 6,Category 3,6.99,,nan,6.99,1824.39
19,Product 9,2020-01-20,344.0,Sub Category 6,Category 3,6.99,,nan,6.99,2404.56
20,Product 9,2020-01-21,336.0,Sub Category 6,Category 3,6.99,,nan,6.99,2348.64
21,Product 9,2020-01-22,366.0,Sub Category 6,Category 3,6.99,,nan,6.99,2558.34
22,Product 9,2020-01-23,398.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1588.02
23,Product 9,2020-01-24,433.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1727.67
24,Product 9,2020-01-25,500.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1995.0
25,Product 9,2020-01-26,347.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1384.53
26,Product 9,2020-01-27,430.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1715.7
27,Product 9,2020-01-28,421.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1679.79
28,Product 9,2020-01-29,449.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1791.51
29,Product 9,2020-01-30,476.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,1423.24
30,Product 9,2020-01-31,507.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,1515.93
31,Product 9,2020-02-01,569.0,Sub Category 6,Category 3,6.99,$2.99,F,2.99,1701.31
32,Product 9,2020-02-02,409.0,Sub Category 6,Category 3,6.99,$3.99,F,3.99,1631.91
