Product,Date,Offer,OfferType,Quantity
Product 9,01-01-2017,,,174.332
Product 9,01-02-2017,,,441.678
Product 9,01-03-2017,,,461.293
Product 9,01-04-2017,,,549.462
Product 9,01-05-2017,,,488.684
Product 9,01-06-2017,,,642.928
Product 9,01-07-2017,,,531.042
Product 9,01-08-2017,,,402.154
Product 9,01-09-2017,,,426.748
Product 9,01-10-2017,,,436.149
Product 9,01-11-2017,,,543.569
Product 9,01-12-2017,,,440.922
Product 9,01-13-2017,,,463.682
Product 9,01-14-2017,,,558.496
Product 9,01-15-2017,,,456.11
Product 9,01-16-2017,,,590.936
Product 9,01-17-2017,,,382.344
Product 9,01-18-2017,,,518.523
Product 9,01-19-2017,,,412.985
Product 9,01-20-2017,,,447.892
Product 9,01-21-2017,,,524.169
Product 9,01-22-2017,$ 3.99,F,595.418
Product 9,01-23-2017,$ 3.99,F,570.821
Product 9,01-24-2017,$ 3.99,F,512.497
Product 9,01-25-2017,$ 3.99,F,523.747
Product 9,01-26-2017,$ 3.99,F,623.152
Product 9,01-27-2017,$ 3.99,F,637.79
Product 9,01-28-2017,$ 3.99,F,892.98
Product 9,01-29-2017,$ 3.99,F,503.109
Product 9,01-30-2017,$ 3.99,F,472.319
Product 9,01-31-2017,$ 3.99,F,617.355
Product 9,02-01-2017,$ 3.99,F,643.293
Product 9,02-02-2017,$ 2.99,F,917.359
Product 9,02-03-2017,$ 2.99,F,1167.24
Product 9,02-04-2017,$ 2.99,F,1175.7
Product 9,02-05-2017,$ 3.99,F,467.942
Product 9,02-06-2017,$ 3.99,F,553.711
Product 9,02-07-2017,$ 3.99,F,549.982
Product 9,02-08-2017,$ 3.99,F,759.871
Product 9,02-09-2017,$ 3.99,F,969.867
Product 9,02-10-2017,$ 3.99,F,581.436
Product 9,02-11-2017,$ 3.99,F,937.708
Product 9,02-12-2017,$ 3.99,F,581.766
Product 9,02-13-2017,$ 3.99,F,530.694
Product 9,02-14-2017,$ 3.99,F,578.59
Product 9,02-15-2017,$ 3.99,F,599.377
Product 9,02-16-2017,,,572.669
Product 9,02-17-2017,,,530.027
Product 9,02-18-2017,,,664.148
Product 9,02-19-2017,,,560.325
Product 9,02-20-2017,,,701.7
Product 9,02-21-2017,,,519.064
Product 9,02-22-2017,,,586.881
Product 9,02-23-2017,,,632.032
Product 9,02-24-2017,,,540.405
Product 9,02-25-2017,,,661.737
Product 9,02-26-2017,,,621.677
Product 9,02-27-2017,,,663.231
Product 9,02-28-2017,,,631.683
Product 9,03-01-2017,,,591.461
Product 9,03-02-2017,,,485.108
Product 9,03-03-2017,,,539.469
Product 9,03-04-2017,,,689.239
Product 9,03-05-2017,,,471.397
Product 9,03-06-2017,,,531.827
Product 9,03-07-2017,,,471.568
Product 9,03-08-2017,,,571.897
Product 9,03-09-2017,,,569.976
Product 9,03-10-2017,,,473.924
Product 9,03-11-2017,,,568.345
Product 9,03-12-2017,,,384.977
Product 9,03-13-2017,,,494.512
Product 9,03-14-2017,,,552.69
Product 9,03-15-2017,,,391.709
Product 9,03-16-2017,,,515.872
Product 9,03-17-2017,,,551.343
Product 9,03-18-2017,,,662.139
Product 9,03-19-2017,,,542.292
Product 9,03-20-2017,,,373.084
Product 9,03-21-2017,,,508.907
Product 9,03-22-2017,,,678.004
Product 9,03-23-2017,,,390.067
Product 9,03-24-2017,,,553.509
Product 9,03-25-2017,,,525.099
Product 9,03-26-2017,,,426.865
Product 9,03-27-2017,,,495.624
Product 9,03-28-2017,,,424.802
Product 9,03-29-2017,,,500.333
Product 9,03-30-2017,$ 3.99,F,556.301
Product 9,03-31-2017,$ 3.99,F,571.105
Product 9,04-01-2017,$ 3.99,F,582.039
Product 9,04-02-2017,$ 3.99,F,415.752
Product 9,04-03-2017,$ 3.99,F,586.464
Product 9,04-04-2017,$ 3.99,F,594.265
Product 9,04-05-2017,$ 3.99,F,600.742
Product 9,04-06-2017,$ 3.99,F,549.511
Product 9,04-07-2017,$ 3.99,F,575.037
Product 9,04-08-2017,$ 3.99,F,735.256
Product 9,04-09-2017,$ 3.99,F,502.065
Product 9,04-10-2017,$ 3.99,F,652.842
Product 9,04-11-2017,$ 3.99,F,744.655
Product 9,04-12-2017,$ 3.99,F,601.194
Product 9,04-13-2017,,,442.668
Product 9,04-14-2017,,,490.162
Product 9,04-15-2017,,,455.717
Product 9,04-17-2017,,,486.824
Product 9,04-18-2017,,,480.397
Product 9,04-19-2017,,,538.192
Product 9,04-20-2017,,,557.793
Product 9,04-21-2017,,,596.581
Product 9,04-22-2017,,,546.798
Product 9,04-23-2017,,,492.673
Product 9,04-24-2017,,,591.707
Product 9,04-25-2017,,,687.613
Product 9,04-26-2017,,,466.609
Product 9,04-27-2017,,,441.324
Product 9,04-28-2017,,,581.746
Product 9,04-29-2017,,,754.807
Product 9,04-30-2017,,,344.044
Product 9,05-01-2017,,,411.793
Product 9,05-02-2017,,,394.762
Product 9,05-03-2017,,,470.831
Product 9,05-04-2017,,,469.198
Product 9,05-05-2017,,,506.317
Product 9,05-06-2017,,,590.463
Product 9,05-07-2017,,,438.288
Product 9,05-08-2017,,,411.841
Product 9,05-09-2017,,,461.39
Product 9,05-10-2017,,,598.182
Product 9,05-11-2017,,,482.709
Product 9,05-12-2017,,,478.729
Product 9,05-13-2017,,,463.12
Product 9,05-14-2017,,,233.821
Product 9,05-15-2017,,,444.094
Product 9,05-16-2017,,,457.083
Product 9,05-17-2017,,,448.78
Product 9,05-18-2017,,,363.729
Product 9,05-19-2017,,,443.012
Product 9,05-20-2017,,,368.887
Product 9,05-21-2017,,,341.557
Product 9,05-22-2017,,,295.46
Product 9,05-23-2017,,,443.258
Product 9,05-24-2017,,,370.5
Product 9,05-25-2017,,,459.675
Product 9,05-26-2017,,,364.736
Product 9,05-27-2017,,,354.566
Product 9,05-28-2017,,,359.515
Product 9,05-29-2017,,,436.842
Product 9,05-30-2017,,,449.578
Product 9,05-31-2017,,,403.163
Product 9,06-01-2017,,,463.198
Product 9,06-02-2017,,,443.228
Product 9,06-03-2017,,,459.191
Product 9,06-04-2017,,,267.406
Product 9,06-05-2017,,,371.796
Product 9,06-06-2017,,,387.243
Product 9,06-07-2017,,,594.718
Product 9,06-08-2017,,,444.951
Product 9,06-09-2017,,,366.367
Product 9,06-10-2017,,,366.107
Product 9,06-11-2017,,,237.128
Product 9,06-12-2017,,,444.291
Product 9,06-13-2017,,,447.545
Product 9,06-14-2017,,,342.129
Product 9,06-15-2017,,,337.137
Product 9,06-16-2017,,,369.16
Product 9,06-17-2017,,,260.475
Product 9,06-18-2017,,,220.101
Product 9,06-19-2017,,,351.542
Product 9,06-20-2017,,,279.225
Product 9,06-21-2017,,,320.161
Product 9,06-22-2017,,,360.633
Product 9,06-23-2017,,,361.56
Product 9,06-24-2017,,,301.541
Product 9,06-25-2017,,,211.837
Product 9,06-26-2017,,,319.079
Product 9,06-27-2017,,,258.209
Product 9,06-28-2017,,,298.016
Product 9,06-29-2017,,,343.542
Product 9,06-30-2017,,,288.601
Product 9,07-01-2017,,,473.946
Product 9,07-02-2017,,,264.249
Product 9,07-03-2017,,,645.305
Product 9,07-04-2017,,,419.667
Product 9,07-05-2017,,,297.756
Product 9,07-06-2017,,,323.73
Product 9,07-07-2017,,,393.406
Product 9,07-08-2017,,,398.139
Product 9,07-09-2017,,,264.191
Product 9,07-10-2017,,,487.119
Product 9,07-11-2017,,,310.207
Product 9,07-12-2017,,,279.856
Product 9,07-13-2017,,,335.36
Product 9,07-14-2017,,,369.555
Product 9,07-15-2017,,,387.749
Product 9,07-16-2017,,,258.178
Product 9,07-17-2017,,,492.823
Product 9,07-18-2017,,,438.105
Product 9,07-19-2017,,,399.288
Product 9,07-20-2017,,,394.93
Product 9,07-21-2017,,,415.214
Product 9,07-22-2017,,,494.314
Product 9,07-23-2017,,,268.542
Product 9,07-24-2017,,,362.261
Product 9,07-25-2017,,,399.234
Product 9,07-26-2017,,,365.961
Product 9,07-27-2017,,,450.405
Product 9,07-28-2017,,,429.002
Product 9,07-29-2017,,,483.91
Product 9,07-30-2017,,,268.668
Product 9,07-31-2017,,,420.393
Product 9,08-01-2017,,,500.98
Product 9,08-02-2017,,,522.564
Product 9,08-03-2017,,,544.219
Product 9,08-04-2017,,,482.72
Product 9,08-05-2017,,,433.109
Product 9,08-06-2017,,,344.222
Product 9,08-07-2017,,,506.638
Product 9,08-08-2017,,,490.978
Product 9,08-09-2017,,,610.791
Product 9,08-10-2017,,,463.092
Product 9,08-11-2017,,,491.83
Product 9,08-12-2017,,,444.305
Product 9,08-13-2017,,,308.363
Product 9,08-14-2017,,,418.902
Product 9,08-15-2017,,,424.105
Product 9,08-16-2017,,,480.227
Product 9,08-17-2017,$ 3.99,F,803.696
Product 9,08-18-2017,$ 3.99,F,698.216
Product 9,08-19-2017,$ 3.99,F,752.382
Product 9,08-20-2017,$ 3.99,F,483.154
Product 9,08-21-2017,$ 3.99,F,551.301
Product 9,08-22-2017,$ 3.99,F,568.376
Product 9,08-23-2017,$ 3.99,F,755.057
Product 9,08-24-2017,$ 3.99,F,657.374
Product 9,08-25-2017,$ 3.99,F,694.98
Product 9,08-26-2017,$ 3.99,F,705.561
Product 9,08-27-2017,$ 3.99,F,533.101
Product 9,08-28-2017,$ 3.99,F,550.357
Product 9,08-29-2017,$ 3.99,F,609.416
Product 9,08-30-2017,$ 3.99,F,647.794
Product 9,08-31-2017,40% OFF,P,583.504
Product 9,09-01-2017,40% OFF,P,704.771
Product 9,09-02-2017,40% OFF,P,708.831
Product 9,09-03-2017,40% OFF,P,559.897
Product 9,09-04-2017,40% OFF,P,558.112
Product 9,09-05-2017,40% OFF,P,476.068
Product 9,09-06-2017,40% OFF,P,405.177
Product 9,09-07-2017,40% OFF,P,482.616
Product 9,09-08-2017,40% OFF,P,559.433
Product 9,09-09-2017,40% OFF,P,638.142
Product 9,09-10-2017,40% OFF,P,434.507
Product 9,09-11-2017,40% OFF,P,669.055
Product 9,09-12-2017,40% OFF,P,480.79
Product 9,09-13-2017,40% OFF,P,604.395
Product 9,09-14-2017,,,1008.972
Product 9,09-15-2017,,,713.878
Product 9,09-16-2017,,,681.887
Product 9,09-17-2017,,,509.453
Product 9,09-18-2017,,,585.432
Product 9,09-19-2017,,,547.186
Product 9,09-20-2017,,,530.15
Product 9,09-21-2017,,,567.705
Product 9,09-22-2017,,,596.858
Product 9,09-23-2017,,,720.503
Product 9,09-24-2017,,,568.689
Product 9,09-25-2017,,,498.144
Product 9,09-26-2017,,,575.284
Product 9,09-27-2017,,,629.073
Product 9,09-28-2017,30% OFF,P,688.107
Product 9,09-29-2017,30% OFF,P,860.151
Product 9,09-30-2017,30% OFF,P,971.986
Product 9,10-01-2017,30% OFF,P,713.174
Product 9,10-02-2017,30% OFF,P,799.08
Product 9,10-03-2017,30% OFF,P,787.665
Product 9,10-04-2017,30% OFF,P,635.521
Product 9,10-05-2017,30% OFF,P,672.558
Product 9,10-06-2017,30% OFF,P,814.759
Product 9,10-07-2017,30% OFF,P,992.417
Product 9,10-08-2017,30% OFF,P,828.729
Product 9,10-09-2017,30% OFF,P,880.769
Product 9,10-10-2017,30% OFF,P,810.451
Product 9,10-11-2017,30% OFF,P,888.228
Product 9,10-12-2017,30% OFF,P,1006.881
Product 9,10-13-2017,30% OFF,P,890.115
Product 9,10-14-2017,30% OFF,P,1293.254
Product 9,10-15-2017,30% OFF,P,934.673
Product 9,10-16-2017,30% OFF,P,925.824
Product 9,10-17-2017,30% OFF,P,1031.394
Product 9,10-18-2017,30% OFF,P,1093.41
Product 9,10-19-2017,30% OFF,P,1048.811
Product 9,10-20-2017,30% OFF,P,1233.219
Product 9,10-21-2017,30% OFF,P,1567.936
Product 9,10-22-2017,30% OFF,P,1082.046
Product 9,10-23-2017,30% OFF,P,1191.07
Product 9,10-24-2017,30% OFF,P,1203.317
Product 9,10-25-2017,30% OFF,P,1221.266
Product 9,10-26-2017,30% OFF,P,1267.854
Product 9,10-27-2017,30% OFF,P,1396.177
Product 9,10-28-2017,30% OFF,P,1543.728
Product 9,10-29-2017,30% OFF,P,978.805
Product 9,10-30-2017,30% OFF,P,1065.556
Product 9,10-31-2017,30% OFF,P,708.027
Product 9,11-01-2017,30% OFF,P,424.643
Product 9,11-02-2017,30% OFF,P,464.555
Product 9,11-03-2017,30% OFF,P,610.682
Product 9,11-04-2017,30% OFF,P,657.699
Product 9,11-05-2017,30% OFF,P,468.684
Product 9,11-06-2017,30% OFF,P,471.502
Product 9,11-07-2017,30% OFF,P,579.987
Product 9,11-08-2017,30% OFF,P,456.807
Product 9,11-09-2017,30% OFF,P,494.54
Product 9,11-10-2017,30% OFF,P,560.953
Product 9,11-11-2017,30% OFF,P,630.196
Product 9,11-12-2017,$ 3.99,F,699.766
Product 9,11-13-2017,$ 3.99,F,660.72
Product 9,11-14-2017,$ 3.99,F,752.737
Product 9,11-15-2017,$ 3.99,F,814.736
Product 9,11-16-2017,$ 3.99,F,785.232
Product 9,11-17-2017,$ 3.99,F,759.963
Product 9,11-18-2017,$ 3.99,F,720.309
Product 9,11-19-2017,$ 3.99,F,558.066
Product 9,11-20-2017,$ 3.99,F,562.998
Product 9,11-21-2017,$ 3.99,F,521.524
Product 9,11-22-2017,$ 3.99,F,881.483
Product 9,11-24-2017,$ 3.99,F,1136.457
Product 9,11-25-2017,$ 3.99,F,875.981
Product 9,11-26-2017,$ 3.99,F,531.031
Product 9,11-27-2017,$ 3.99,F,587.131
Product 9,11-28-2017,$ 3.99,F,575.237
Product 9,11-29-2017,$ 3.99,F,761.471
Product 9,11-30-2017,,,444.177
Product 9,12-01-2017,,,603.868
Product 9,12-02-2017,,,615.925
Product 9,12-03-2017,,,396.441
Product 9,12-04-2017,,,406.717
Product 9,12-05-2017,,,635.292
Product 9,12-06-2017,,,499.379
Product 9,12-07-2017,,,406.688
Product 9,12-08-2017,,,386.138
Product 9,12-09-2017,,,519.662
Product 9,12-10-2017,,,326.415
Product 9,12-11-2017,,,413.755
Product 9,12-12-2017,,,340.749
Product 9,12-13-2017,,,381.853
Product 9,12-14-2017,$ 3.99,F,472.751
Product 9,12-15-2017,$ 3.99,F,542.325
Product 9,12-16-2017,$ 3.99,F,544.008
Product 9,12-17-2017,$ 3.99,F,471.335
